deciles,range,min_,max_,avg_,cnt,cnt_resp,cnt_non_resp,prob,cum_tot,cum_resp,cum_non_resp,cum_tot_pct,cum_resp_pct,cum_non_resp_pct,ks,ln odds
1,0 to 40400,0,40400,12561.452,2000,130,1870,6.50%,2000,130,1870,10%,5.20%,10.70%,5.50%,-2.666159259
2,40430 to 131094,40430,131094,79774.869,2000,187,1813,9.40%,4000,317,3683,20%,12.60%,21.10%,8.50%,-2.265744524
3,131160 to 341280,131160,341280,235819.4825,2000,213,1787,10.60%,6000,530,5470,30%,21.10%,31.30%,10.20%,-2.132266681
4,341300 to 528841,341300,528841,437441.5263,1999,234,1765,11.70%,7999,764,7235,40%,30.40%,41.40%,11.00%,-2.021151266
5,529066 to 694831,529066,694831,611409.029,2001,266,1735,13.30%,10000,1030,8970,50%,41.00%,51.30%,10.30%,-1.874689849
6,695399 to 847410,695399,847410,771759.5275,2000,225,1775,11.20%,12000,1255,10745,60%,50.00%,61.40%,11.40%,-2.070472872
7,847430 to 985327,847430,985327,916167.0785,2000,273,1727,13.60%,14000,1528,12472,70%,60.80%,71.30%,10.50%,-1.848917883
8,985420 to 1214397,985420,1214397,1086005.303,1998,306,1692,15.30%,15998,1834,14164,80%,73.00%,81.00%,8.00%,-1.711262773
9,1214648 to 1563662,1214648,1563662,1380401.478,2002,339,1663,16.90%,18000,2173,15827,90%,86.50%,90.50%,4.00%,-1.59273108
10,1563829 to 2340134,1563829,2340134,1899905.818,2000,339,1661,17.00%,20000,2512,17488,100%,100.00%,100.00%,0.00%,-1.585627264
